,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_length,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,acc_now_delinq,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,sub_grade_A2,sub_grade_A3,sub_grade_A4,sub_grade_A5,sub_grade_B1,sub_grade_B2,sub_grade_B3,sub_grade_B4,sub_grade_B5,sub_grade_C1,sub_grade_C2,sub_grade_C3,sub_grade_C4,sub_grade_C5,sub_grade_D1,sub_grade_D2,sub_grade_D3,sub_grade_D4,sub_grade_D5,sub_grade_E1,sub_grade_E2,sub_grade_E3,sub_grade_E4,sub_grade_E5,sub_grade_F1,sub_grade_F2,sub_grade_F3,sub_grade_F4,sub_grade_F5,sub_grade_G1,sub_grade_G2,sub_grade_G3,sub_grade_G4,sub_grade_G5,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,loan_status_Current,loan_status_Default,loan_status_Fully Paid,loan_status_In Grace Period,loan_status_Late (16-30 days),loan_status_Late (31-120 days),issue_month,issue_year
0,7000.0,7000.0,7000.0,0,6.62,214.93,0,48000.0,16.0,0.0,0.0,14.0,0.0,22301.0,80.9,25.0,0.0,0.0,7736.092664,7736.09,7000.0,736.09,0.0,0.0,0.0,223.8,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,2011
1,7200.0,7200.0,7200.0,0,12.42,240.59,9,35000.0,6.14,0.0,0.0,6.0,0.0,6250.0,89.3,13.0,0.0,0.0,8680.71900566,8680.72,7200.0,1465.73,14.9906479904,0.0,0.0,8.82,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,2011
2,22000.0,22000.0,22000.0,0,14.65,758.88,1,192000.0,1.82,0.0,1.0,8.0,0.0,20795.0,65.8,10.0,0.0,0.0,23407.62,23407.62,22000.0,1407.62,0.0,0.0,0.0,859.49,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,10,2011
3,18750.0,18750.0,18750.0,0,7.9,586.7,3,75000.0,13.94,0.0,1.0,11.0,0.0,31463.0,49.6,24.0,0.0,0.0,21120.1364475,21120.14,18750.0,2370.14,0.0,0.0,0.0,591.04,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,2011
4,12500.0,12500.0,12500.0,0,7.9,391.13,3,32500.0,24.15,0.0,0.0,6.0,0.0,7458.0,84.7,10.0,0.0,0.0,14080.0433413,14080.04,12500.0,1580.04,0.0,0.0,0.0,394.54,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2011
5,11000.0,11000.0,11000.0,0,7.51,342.22,7,65000.0,19.88,0.0,1.0,16.0,0.0,11968.0,21.0,35.0,0.0,0.0,12318.6230724,12318.62,11000.0,1318.62,0.0,0.0,0.0,350.37,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,10,2011
6,7000.0,7000.0,7000.0,0,7.9,219.04,2,36000.0,3.7,0.0,0.0,4.0,0.0,7850.0,47.3,13.0,0.0,0.0,7884.31935809,7884.32,7000.0,884.32,0.0,0.0,0.0,223.59,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,10,2011
7,31500.0,31500.0,31500.0,1,15.96,765.35,0,132000.0,6.01,0.0,6.0,7.0,0.0,33690.0,41.7,31.0,0.0,0.0,34329.57,34329.57,31500.0,2829.57,0.0,0.0,0.0,29750.87,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,2011
8,13600.0,13600.0,13575.0,1,17.58,342.26,0,81060.0,8.1,1.0,1.0,10.0,0.0,6720.0,42.5,15.0,3188.24,3182.31,17060.35,17029.14,10411.76,6648.59,0.0,0.0,0.0,342.26,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,2011
9,14400.0,14400.0,14400.0,1,17.58,362.39,0,89000.0,7.48,4.0,0.0,6.0,0.0,0.0,0.0,22.0,3376.31,3376.31,18097.71,18097.71,11023.69,7055.93,18.0952452297,0.0,0.0,362.39,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,10,2011
