grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,sub_grade_A2,sub_grade_A3,sub_grade_A4,sub_grade_A5,sub_grade_B1,sub_grade_B2,sub_grade_B3,sub_grade_B4,sub_grade_B5,sub_grade_C1,sub_grade_C2,sub_grade_C3,sub_grade_C4,sub_grade_C5,sub_grade_D1,sub_grade_D2,sub_grade_D3,sub_grade_D4,sub_grade_D5,sub_grade_E1,sub_grade_E2,sub_grade_E3,sub_grade_E4,sub_grade_E5,sub_grade_F1,sub_grade_F2,sub_grade_F3,sub_grade_F4,sub_grade_F5,sub_grade_G1,sub_grade_G2,sub_grade_G3,sub_grade_G4,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,loan_status_Current,loan_status_Default,loan_status_Fully Paid,loan_status_Late (31-120 days),int_rate,loan_amnt,funded_amnt,funded_amnt_inv,term,installment,emp_length,annual_inc,issue_month,issue_year,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,acc_now_delinq
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,10.65,0.163497386,0.163497386,0.162679899,0,0.005325764,0,0.784787454,0.000392394,0.065758649,0.000904141,0,3.27E-05,9.81E-05,0,0.446282466,0.002736946,0.000294295,0,0,0.191653971,0.190696158,0.163497386,0.028156539,0,0,0,0.005611884,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15.27,0.082061891,0.082061891,0.082061891,3.28E-05,0.001963905,3.28E-05,0.984742696,0.000393897,0.066010585,3.28E-05,0,0.000164124,9.85E-05,0,0.055375364,0.000308553,0.000131299,0,0,0.03311066,0.03311066,0.014983188,0.014284349,0,0.003843122,3.64E-05,0.00392781,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,15.96,0.167712744,0.167712744,0.167712744,0,0.005893007,0,0.856173558,0.000838564,0.140529303,0.000609356,0,0.000139761,0.000139761,0,0.206566196,0.006883211,0.000698803,0,0,0.209896248,0.209895993,0.167712744,0.042183249,0,0,0,0.045415912,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,13.49,0.177888825,0.177888825,0.177888825,0,0.006035946,0,0.875213017,0.000213467,0.035773443,0.000355778,0,1.78E-05,0.000177889,0,0.099582164,0.000373567,0.000658189,0,0,0.217492253,0.217492214,0.177888825,0.039301512,0.000301877,0,0,0.00635917,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,12.69,0.035279086,0.035279086,0.035279086,1.18E-05,0.00079719,2.35E-05,0.940775635,0.000141116,0.023648748,0.000210969,0,0,0.000176395,0,0.326719618,0.000633848,0.000446868,0.00901851,0.00901851,0.038126932,0.038126932,0.026260576,0.011866356,0,0,0,0.00079719,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,7.9,0.127939234,0.127939234,0.127939234,0,0.004003475,7.68E-05,0.921162486,0.000307054,0.05145716,0.000286584,0,7.68E-05,0.000230291,0,0.203756024,0.000724136,0.000307054,0,0,0.144094831,0.144094889,0.127939234,0.016155655,0,0,0,0.004120411,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15.96,0.131132855,0.131132855,0.131132855,1.87E-05,0.003186154,7.49E-05,0.880538386,0.000224799,0.037672596,0.000440419,0,1.87E-05,0.000131133,0,0.332065855,0.001603567,0.000206066,0.035389947,0.035389947,0.15242958,0.15242958,0.095742907,0.056686672,0,0,0,0.003186154,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,18.64,0.060688977,0.060688977,0.060688977,0,0.002213732,0.000101148,0.971023632,0.000242756,0.040681844,0.000108229,0,4.05E-05,8.09E-05,0,0.166308027,0.001770095,8.09E-05,0,0,0.079667317,0.079667229,0.060688977,0.018978252,0,0,0,0.00225237,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,21.28,0.134781381,0.134781381,0.134781381,2.41E-05,0.003667738,0.000144409,0.962724153,0.000288817,0.048400957,0.000133578,0,4.81E-05,0.000264749,0,0.125394821,0.00078462,0.000312885,0,0,0.015548476,0.015548476,0.003899514,0.007098647,0,0.004550316,5.03E-05,0.003667738,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12.69,0.266518009,0.266518009,0.26527839,4.96E-05,0.006022067,4.96E-05,0.743771187,0.000595017,0.099714924,0.000896492,0,0,9.92E-05,0,0.460096856,0.001809843,0.000148754,0,0,0.073196506,0.07285685,0.033394335,0.026449495,0,0.013352676,0.000124954,0.006022067,0,0
